month,department,labor_cost,tech_cost,overhead,revenue_generated,margin_pct
2024-01,Sales,42000,5200,8800,118000,32.1
2024-01,Operations,55000,7800,12000,95000,18.4
2024-01,Finance,28000,6100,5400,21000,12.2
2024-01,HR,31000,4100,6200,8000,5.1
2024-01,Logistics,48000,9200,15000,87000,22.0
2024-02,Sales,42500,5300,8900,121500,33.0
2024-02,Operations,55200,7900,12100,96200,18.9
2024-02,Finance,28100,6150,5450,21500,12.8
2024-02,HR,31200,4150,6250,8200,5.4
2024-02,Logistics,48200,9250,15100,88500,22.3
2025-11,Sales,46800,6800,10200,156000,35.2
2025-11,Operations,59800,9100,13800,112000,21.5
2025-11,Finance,30200,7200,6100,26800,14.1
2025-11,HR,33400,5100,6800,9200,6.2
2025-11,Logistics,52100,10100,16800,102000,24.0
2025-12,Sales,47200,6900,10300,158500,35.5
2025-12,Operations,60100,9150,13900,113200,21.8
2025-12,Finance,30400,7250,6150,27200,14.4
2025-12,HR,33600,5150,6850,9400,6.4
2025-12,Logistics,52400,10200,16900,103500,24.2
